xValue contrib
1.9038e+06 5.9428e+06
2.0051e+06 5.9526e+06
1.9757e+06 6.2823e+06
1.8366e+06 5.9933e+06
1.8494e+06 5.9751e+06
1.9986e+06 6.2175e+06
1.8121e+06 5.9451e+06
1.8632e+06 5.9986e+06
1.7321e+06 5.2448e+06
2.0523e+06 6.9174e+06
1.8393e+06 5.588e+06
1.9331e+06 5.8346e+06
1.9034e+06 6.0866e+06
1.8e+06 5.7496e+06
1.7588e+06 5.7921e+06
1.9739e+06 5.8722e+06
1.6807e+06 5.0157e+06
1.7889e+06 5.7918e+06
1.8121e+06 5.6846e+06
1.8144e+06 6.3524e+06
2.0289e+06 6.4551e+06
1.9297e+06 6.4089e+06
1.7954e+06 5.4732e+06
1.8942e+06 6.2035e+06
1.7579e+06 5.2231e+06
1.8082e+06 5.8101e+06
1.6944e+06 5.0567e+06
2.0389e+06 6.2411e+06
1.9452e+06 6.2041e+06
1.9139e+06 5.3608e+06
2.0133e+06 6.6447e+06
1.9939e+06 6.4174e+06
2.049e+06 6.2138e+06
2.2172e+06 6.3964e+06
2.0161e+06 6.0868e+06
1.899e+06 5.7005e+06
1.9412e+06 5.941e+06
2.0396e+06 6.1297e+06
1.9204e+06 6.1178e+06
1.8894e+06 5.9008e+06
1.7734e+06 5.1126e+06
1.8306e+06 5.1771e+06
1.7605e+06 5.1189e+06
1.7745e+06 5.9526e+06
1.9915e+06 5.6805e+06
1.5878e+06 4.8073e+06
1.7454e+06 5.4937e+06
1.8258e+06 5.2416e+06
1.9645e+06 4.8952e+06
1.7305e+06 5.4594e+06
1.7225e+06 5.1886e+06
1.787e+06 5.544e+06
1.78e+06 4.7311e+06
1.7816e+06 5.4242e+06
1.6192e+06 4.8814e+06
1.7102e+06 5.1444e+06
1.8582e+06 4.6527e+06
1.7658e+06 5.3643e+06
1.7836e+06 5.0649e+06
1.7729e+06 5.0853e+06
1.8755e+06 5.9176e+06
1.7949e+06 5.1051e+06
1.6705e+06 4.9384e+06
1.6879e+06 4.7436e+06
1.6125e+06 4.6929e+06
1.7337e+06 5.1145e+06
1.7897e+06 5.4476e+06
1.8672e+06 5.1273e+06
1.5538e+06 4.4955e+06
1.7039e+06 5.2016e+06
2.0271e+06 6.0977e+06
1.921e+06 5.6005e+06
1.8946e+06 5.4901e+06
1.9549e+06 4.6633e+06
1.7717e+06 4.2114e+06
1.582e+06 4.6927e+06
1.4094e+06 3.9693e+06
1.4598e+06 4.4528e+06
1.4248e+06 4.4857e+06
1.4591e+06 4.5836e+06
1.6912e+06 5.5028e+06
1.3687e+06 4.602e+06
1.5269e+06 4.9118e+06
1.5378e+06 5.3126e+06
1.5486e+06 5.5784e+06
1.5864e+06 5.1529e+06
1.7623e+06 6.3703e+06
1.5079e+06 4.9616e+06
1.4397e+06 5.1959e+06
1.6916e+06 5.4725e+06
1.5562e+06 4.7264e+06
1.6161e+06 5.4118e+06
1.4663e+06 4.8422e+06
1.7466e+06 5.7952e+06
1.518e+06 5.062e+06
1.5618e+06 4.6689e+06
1.4703e+06 4.998e+06
1.7421e+06 5.4197e+06
1.4994e+06 5.1558e+06
1.6065e+06 4.9881e+06
1.7971e+06 5.8297e+06
1.5152e+06 5.0653e+06
1.6104e+06 4.8172e+06
1.4116e+06 4.9652e+06
1.6523e+06 5.3705e+06
1.7977e+06 6.2698e+06
1.5425e+06 5.1917e+06
1.4861e+06 4.9373e+06
1.7629e+06 6.2122e+06
1.6663e+06 5.2672e+06
1.7072e+06 6.0009e+06
1.8327e+06 5.9243e+06
1.5986e+06 5.184e+06
1.6774e+06 5.5831e+06
1.6556e+06 5.721e+06
1.656e+06 5.4238e+06
1.5078e+06 5.0718e+06
1.7601e+06 6.2917e+06
1.6208e+06 5.7729e+06
1.8443e+06 5.9172e+06
1.4821e+06 4.9265e+06
1.598e+06 5.1068e+06
1.6476e+06 5.6908e+06
1.7195e+06 5.3926e+06
1.5242e+06 3.8866e+06
1.6727e+06 5.6561e+06
1.7164e+06 5.4012e+06
1.7369e+06 6.0391e+06
1.6921e+06 5.3305e+06
1.6554e+06 5.3107e+06
1.8325e+06 5.3428e+06
2.1307e+06 5.5974e+06
2.5257e+06 6.657e+06
2.4455e+06 6.9268e+06
2.3366e+06 6.2998e+06
2.4174e+06 6.912e+06
2.5773e+06 7.7388e+06
2.6847e+06 7.2965e+06
2.3674e+06 6.7493e+06
2.2951e+06 6.0645e+06
2.1051e+06 6.5295e+06
2.0556e+06 6.2142e+06
2.1573e+06 6.9917e+06
2.067e+06 6.8751e+06
1.8862e+06 6.3889e+06
3.4538e+06 1.1304e+07
1.9924e+06 6.1691e+06
1.9878e+06 6.5063e+06
2.1785e+06 7.404e+06
2.1296e+06 7.2669e+06
2.2638e+06 6.8913e+06
2.1462e+06 6.8001e+06
2.2897e+06 6.8283e+06
2.2645e+06 6.5241e+06
2.012e+06 6.7292e+06
2.0479e+06 6.2597e+06
2.1579e+06 6.6145e+06
2.328e+06 7.4264e+06
2.6683e+06 8.4464e+06
2.5339e+06 8.1426e+06
2.4991e+06 6.9913e+06
2.3961e+06 6.2322e+06
2.3411e+06 6.4555e+06
2.3704e+06 6.1638e+06
1.8787e+06 5.8928e+06
2.0776e+06 6.2356e+06
2.0003e+06 5.9008e+06
2.296e+06 7.2212e+06
2.2128e+06 6.7972e+06
2.2328e+06 7.3147e+06
2.47e+06 6.3786e+06
2.2602e+06 6.5722e+06
2.1071e+06 6.5631e+06
2.3609e+06 7.407e+06
2.3638e+06 7.2457e+06
2.2022e+06 7.7724e+06
2.1491e+06 7.3291e+06
2.4838e+06 8.4196e+06
